date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2005-10-01,84,76,85,37,42,64,95,80,83,6,79,93,2,95,40,39,88,12,36,23,29,72,78,12,25,78,70
2005-10-02,58,31,41,83,39,13,92,95,82,57,81,28,2,5,78,14,70,96,61,53,31,13,53,24,46,30,75
2005-10-03,14,75,19,1,67,78,27,18,59,32,79,7,85,48,73,19,70,54,44,50,43,94,81,9,26,29,18
2005-10-04,63,20,73,75,70,77,11,2,78,61,42,1,32,43,54,39,88,6,66,97,15,71,32,24,73,35,84
2005-10-05,52,58,84,33,12,3,16,78,24,87,71,27,11,66,47,36,85,24,12,89,51,74,5,15,41,51,0
2005-10-06,71,86,84,4,83,99,62,1,99,25,98,4,24,31,84,6,25,41,14,38,67,61,32,75,57,41,53
2005-10-07,80,15,81,60,72,54,10,70,99,58,17,88,0,21,56,37,37,32,77,62,43,18,53,16,28,13,55
2005-10-08,26,38,99,7,54,37,76,21,76,77,69,85,26,57,86,65,70,35,9,86,67,87,76,7,24,40,43
2005-10-09,93,28,17,35,93,70,61,41,90,82,17,38,23,14,11,77,11,15,50,21,58,15,77,45,22,19,43
2005-10-10,93,40,65,95,36,4,67,19,77,78,42,38,59,87,34,3,71,44,59,44,96,60,57,30,96,75,27
2005-10-11,66,67,49,6,57,46,70,4,84,34,3,43,16,5,59,40,80,95,93,38,29,54,64,52,46,21,54
2005-10-12,62,37,31,7,45,94,80,82,34,31,25,80,34,21,23,57,68,17,29,55,49,97,26,99,11,42,36
2005-10-13,26,6,31,56,75,48,92,51,52,48,35,66,84,30,3,73,96,22,33,10,55,5,93,94,58,49,30
2005-10-14,96,21,26,40,88,44,65,6,10,53,17,5,34,88,66,0,60,14,82,81,23,31,40,91,42,65,77
2005-10-15,20,76,87,85,93,43,27,18,20,37,18,18,84,89,98,17,4,87,0,59,27,64,67,91,20,68,66
2005-10-16,35,76,96,94,32,89,43,9,3,90,4,41,36,92,22,57,55,10,12,48,44,45,52,50,22,27,55
2005-10-17,8,92,93,69,89,73,54,31,40,19,40,38,68,89,92,96,9,30,42,88,92,43,39,64,13,36,39
2005-10-18,63,90,57,51,74,88,48,28,35,92,8,93,55,67,23,6,31,92,86,31,32,83,7,95,10,67,28
2005-10-19,32,82,53,72,78,49,18,69,4,6,93,86,64,36,91,3,69,68,5,6,86,52,9,29,61,39,58
2005-10-20,69,76,24,17,2,87,65,66,55,81,49,14,17,77,70,86,61,29,85,99,59,51,43,62,72,52,67
