date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-07-26,71154,76972,86553,71613,40019,42698,85600,81597,11389,69140,860,117,9809,5756,4887,3896,2588,3158,8401,8135,412,196,891,67,37,59,11
2020-07-27,38931,42099,9443,44948,84149,74367,50336,32017,35777,13942,9483,2755,6068,7638,9890,4106,5089,2454,8514,2135,50,836,691,96,1,79,25
2020-07-28,91382,37651,63205,39553,64511,42752,8998,58959,14592,94933,8407,1399,7392,6051,4007,4878,8482,3228,5216,2257,231,457,670,32,23,34,45
2020-07-29,63717,68586,28579,9181,69627,85349,96179,76393,80298,77570,3806,7649,8953,1113,9690,5129,9966,4809,3192,4095,862,117,471,78,23,54,64
2020-07-30,45563,38211,20937,32223,31881,13631,48786,42172,28213,88641,111,1000,8121,9412,2904,4170,402,8438,3172,9489,114,64,41,95,97,23,39
2020-07-31,14362,38252,63687,65066,45102,19956,15629,4103,72915,59617,5571,9646,7871,9392,3032,4535,105,8993,6895,5871,28,512,633,42,81,3,87
2020-08-01,86012,32501,65179,29479,10769,14801,70706,67691,14159,52104,9534,1043,8496,8956,5165,5403,4675,4690,671,1348,944,629,987,23,97,63,1
2020-08-02,57611,53204,45723,66225,78295,29499,34657,73208,35456,82761,5230,8213,6912,3355,6467,6380,682,3164,7900,6970,993,992,119,3,6,0,71
2020-08-03,2836,17739,83199,41288,39790,210,40555,56056,67292,22705,4384,5028,9522,4619,3983,6315,5489,1832,5554,6959,264,195,824,65,35,36,49
2020-08-04,11617,14482,90947,57775,159,49308,23844,25801,51183,36488,6814,7456,4506,3570,5801,7707,8657,9139,350,1071,640,101,838,21,74,87,38
2020-08-05,18296,78477,45550,43096,96358,95929,36559,75128,57239,55000,2284,1927,2908,2545,5295,6291,5648,2972,2391,3723,439,561,453,14,30,9,34
2020-08-06,25375,73575,73055,8586,64760,84186,78766,90568,2528,4124,5970,1429,5731,2368,9602,5251,2818,2419,9235,8445,527,63,9,47,81,65,90
2020-08-07,43614,70914,30674,50335,8197,35081,28938,72281,81989,7365,4179,3921,7083,2930,8839,9763,8038,7671,545,3184,982,613,290,30,53,7,50
2020-08-08,12958,48295,79843,42443,58852,52320,45548,90607,29384,35826,1472,576,9519,7640,847,6786,5104,575,4558,7938,687,455,377,41,59,88,17
2020-08-09,83138,37935,5646,4485,448,47945,2996,51708,47873,17617,8442,5345,8655,1372,4143,7991,8901,1721,9973,4625,259,70,479,24,74,5,6
2020-08-10,98628,34931,16344,912,5262,9945,41868,7101,19916,2992,6017,5041,7570,9522,6455,3444,2944,8637,302,3091,540,159,680,84,8,75,46
2020-08-11,40128,22936,71459,13299,44345,17208,35259,45773,20028,34352,3639,5967,4143,2730,6252,4375,6926,3812,2352,883,177,138,2,3,25,23,95
2020-08-12,36852,4571,25712,59956,41911,88660,85662,42075,33965,46850,748,9041,3597,3306,8140,3325,5344,9591,8174,8683,331,832,223,21,31,17,89
2020-08-13,42857,14375,6709,75922,83807,16469,99805,87209,27076,3254,4953,4747,1879,929,789,968,8960,8321,2898,4007,665,844,170,6,55,33,21
2020-08-14,59514,53806,16990,48968,79109,3965,34726,11355,93622,35247,3986,2814,6928,6649,1933,2422,5204,2962,8565,5161,414,951,854,7,12,9,56
